"DTI_CL_ANO","Año","DTI_CL_CUT_2010","Región Provincia Comuna","Value","Flag Codes","Flags"
"2013","2013","13401","San Bernardo",536478.141847583,,
"2014","2014","15101","Arica",105976.62966,,
"2014","2014","01101","Iquique",184051.41026,,
"2014","2014","02101","Antofagasta",315254.02234,,
"2014","2014","02201","Calama",88031.60286,,
"2014","2014","03101","Copiapó",128567.17497,,
"2014","2014","04101","La Serena",228208.19267,,
"2014","2014","04102","Coquimbo",169201.12129,,
"2014","2014","04301","Ovalle",28669.87562,,
"2014","2014","05101","Valparaíso",197496.00128,,
"2014","2014","05103","Concón",46532.51499,,
"2014","2014","05109","Viña del Mar",348130.85585,,
"2014","2014","05301","Los Andes",57109.21859942,,
"2014","2014","05601","San Antonio",79993.545687931,,
"2014","2014","05701","San Felipe",47378.578978276,,
"2014","2014","05801","Quilpué",97731.91096,,
"2014","2014","05804","Villa Alemana",26360.07214,,
"2014","2014","06101","Rancagua",163855.69847,,
"2014","2014","06301","San Fernando",48895.99167414,,
"2014","2014","07101","Talca",171184.34847,,
"2014","2014","07301","Curicó",40035.38565,,
"2014","2014","07401","Linares",27346.09421,,
"2014","2014","08101","Concepción",222020.83305,,
"2014","2014","08102","Coronel",147115.63214,,
"2014","2014","08103","Chiguayante",74973.79795,,
"2014","2014","08105","Hualqui",7214.23705,,
"2014","2014","08106","Lota",15234.49948,,
"2014","2014","08107","Penco",63746.1384,,
"2014","2014","08108","San Pedro de la Paz",156693.34189,,
"2014","2014","08110","Talcahuano",182139.47287,,
"2014","2014","08111","Tomé",27524.79428,,
"2014","2014","08112","Hualpén",74407.20084,,
"2014","2014","08301","Los Ángeles",134519.89804,,
"2014","2014","08401","Chillán",131832.28424,,
"2014","2014","09101","Temuco",178081.92357,,
"2014","2014","09112","Padre Las Casas",10990.24081,,
"2014","2014","09201","Angol",17209.17563,,
"2014","2014","14101","Valdivia",71321.77919,,
"2014","2014","10101","Puerto Montt",136898.83695,,
"2014","2014","10301","Osorno",36549.2701,,
"2014","2014","11101","Coyhaique",52160.38238761,,
"2014","2014","12101","Punta Arenas",57398.30342,,
"2014","2014","13101","Santiago",485552.39731,,
"2014","2014","13102","Cerrillos",205290.8407,,
"2014","2014","13103","Cerro Navia",37971.40178,,
"2014","2014","13104","Conchalí",123301.15611,,
"2014","2014","13105","El Bosque",85201.8517400001,,
"2014","2014","13106","Estación Central",180367.79092,,
"2014","2014","13107","Huechuraba",150422.08632,,
"2014","2014","13108","Independencia",134531.89484,,
"2014","2014","13109","La Cisterna",175160.52607,,
"2014","2014","13110","La Florida",338861.4868,,
"2014","2014","13111","La Granja",165056.70268,,
"2014","2014","13112","La Pintana",155158.70335,,
"2014","2014","13113","La Reina",156296.36559,,
"2014","2014","13114","Las Condes",412839.60265,,
"2014","2014","13115","Lo Barnechea",111367.00156,,
"2014","2014","13116","Lo Espejo",96044.5405000001,,
"2014","2014","13117","Lo Prado",51162.92816,,
"2014","2014","13118","Macul",220413.11827,,
"2014","2014","13119","Maipú",428606.13337,,
"2014","2014","13120","Ñuñoa",277182.7722,,
"2014","2014","13121","Pedro Aguirre Cerda",85398.17691,,
"2014","2014","13122","Peñalolén",233141.17655,,
"2014","2014","13123","Providencia",328701.66469,,
"2014","2014","13124","Pudahuel",149823.54993,,
"2014","2014","13125","Quilicura",248320.87355,,
"2014","2014","13126","Quinta Normal",121328.25227,,
